"","gs","gene","Gene.stable.ID","Gene.stable.ID.1","HGNC.symbol","mouse"
"43","Fibroblast","PDE1A","ENSMUSG00000059173","ENSG00000115252","PDE1A","Pde1a"
"44","Fibroblast","COL6A3","ENSMUSG00000048126","ENSG00000163359","COL6A3","Col6a3"
"45","Fibroblast","NNMT","ENSMUSG00000032271","ENSG00000166741","NNMT","Nnmt"
"47","Fibroblast","CYP1B1","ENSMUSG00000024087","ENSG00000138061","CYP1B1","Cyp1b1"
"48","Fibroblast","GLUL","ENSMUSG00000026473","ENSG00000135821","GLUL","Glul"
"49","Fibroblast","NRP2","ENSMUSG00000025969","ENSG00000118257","NRP2","Nrp2"
"50","Fibroblast","GPX3","ENSMUSG00000018339","ENSG00000211445","GPX3","Gpx3"
"51","Fibroblast","STK38","ENSMUSG00000024006","ENSG00000112079","STK38","Stk38"
"52","Fibroblast","COL3A1","ENSMUSG00000026043","ENSG00000168542","COL3A1","Col3a1"
"53","Fibroblast","DLC1","ENSMUSG00000031523","ENSG00000164741","DLC1","Dlc1"
"54","Fibroblast","SLC7A2","ENSMUSG00000031596","ENSG00000003989","SLC7A2","Slc7a2"
"55","Fibroblast","CLMP","ENSMUSG00000032024","ENSG00000166250","CLMP","Clmp"
"56","Fibroblast","C1S","ENSMUSG00000079343","ENSG00000182326","C1S","C1s2"
"57","Fibroblast","MAP3K5","ENSMUSG00000071369","ENSG00000197442","MAP3K5","Map3k5"
"58","Fibroblast","RASGRF2","ENSMUSG00000021708","ENSG00000113319","RASGRF2","Rasgrf2"
"59","Fibroblast","DCLK1","ENSMUSG00000027797","ENSG00000133083","DCLK1","Dclk1"
"60","Fibroblast","LRP1","ENSMUSG00000040249","ENSG00000123384","LRP1","Lrp1"
"61","Fibroblast","AFF3","ENSMUSG00000037138","ENSG00000144218","AFF3","Aff3"
"62","Fibroblast","USP53","ENSMUSG00000039701","ENSG00000145390","USP53","Usp53"
"63","Fibroblast","IGFBP7","ENSMUSG00000036256","ENSG00000163453","IGFBP7","Igfbp7"
"64","Fibroblast","NHSL2","ENSMUSG00000079481","ENSG00000204131","NHSL2","Nhsl2"
"65","Fibroblast","BCL6","ENSMUSG00000022508","ENSG00000113916","BCL6","Bcl6"
"66","Fibroblast","ZIC1","ENSMUSG00000032368","ENSG00000152977","ZIC1","Zic1"
"67","Fibroblast","PLEKHH2","ENSMUSG00000040852","ENSG00000152527","PLEKHH2","Plekhh2"
"68","Fibroblast","TMTC1","ENSMUSG00000030306","ENSG00000133687","TMTC1","Tmtc1"
"69","Fibroblast","AFF1","ENSMUSG00000029313","ENSG00000172493","AFF1","Aff1"
"70","Fibroblast","ZBTB16","ENSMUSG00000066687","ENSG00000109906","ZBTB16","Zbtb16"
"71","Fibroblast","TIAM1","ENSMUSG00000002489","ENSG00000156299","TIAM1","Tiam1"
"72","Fibroblast","COL6A2","ENSMUSG00000020241","ENSG00000142173","COL6A2","Col6a2"
"73","Fibroblast","PODN","ENSMUSG00000028600","ENSG00000174348","PODN","Podn"
"75","Fibroblast","ADAMTSL3","ENSMUSG00000070469","ENSG00000156218","ADAMTSL3","Adamtsl3"
"76","Fibroblast","ZBTB7C","ENSMUSG00000044646","ENSG00000184828","ZBTB7C","Zbtb7c"
"77","Fibroblast","THSD4","ENSMUSG00000032289","ENSG00000187720","THSD4","Thsd4"
"78","Fibroblast","NID1","ENSMUSG00000005397","ENSG00000116962","NID1","Nid1"
"79","Fibroblast","FGF7","ENSMUSG00000027208","ENSG00000140285","FGF7","Fgf7"
"80","Fibroblast","ABI3BP","ENSMUSG00000035258","ENSG00000154175","ABI3BP","Abi3bp"
"81","Fibroblast","MEIS2","ENSMUSG00000027210","ENSG00000134138","MEIS2","Meis2"
"82","Fibroblast","FAM20A","ENSMUSG00000020614","ENSG00000108950","FAM20A","Fam20a"
"83","Fibroblast","CRISPLD2","ENSMUSG00000031825","ENSG00000103196","CRISPLD2","Crispld2"
"84","Fibroblast","RBPMS","ENSMUSG00000031586","ENSG00000157110","RBPMS","Rbpms"
"85","Fibroblast","TBX15","ENSMUSG00000027868","ENSG00000092607","TBX15","Tbx15"
"86","Fibroblast","TSHZ3","ENSMUSG00000021217","ENSG00000121297","TSHZ3","Tshz3"
"87","Fibroblast","GRK5","ENSMUSG00000003228","ENSG00000198873","GRK5","Grk5"
"88","Fibroblast","LDLRAD3","ENSMUSG00000048058","ENSG00000179241","LDLRAD3","Ldlrad3"
"89","Fibroblast","CACNB2","ENSMUSG00000057914","ENSG00000165995","CACNB2","Cacnb2"
"90","Fibroblast","SLC7A6","ENSMUSG00000031904","ENSG00000103064","SLC7A6","Slc7a6"
"91","Fibroblast","AGMO","ENSMUSG00000050103","ENSG00000187546","AGMO","Agmo"
"92","Fibroblast","ADAM33","ENSMUSG00000027318","ENSG00000149451","ADAM33","Adam33"
"94","Fibroblast","SOBP","ENSMUSG00000038248","ENSG00000112320","SOBP","Sobp"
"95","Fibroblast","DCDC2C","ENSMUSG00000020633","ENSG00000214866","DCDC2C","Dcdc2c"
"96","Fibroblast","LTBP4","ENSMUSG00000040488","ENSG00000090006","LTBP4","Ltbp4"
"97","Fibroblast","SLC12A2","ENSMUSG00000024597","ENSG00000064651","SLC12A2","Slc12a2"
"98","Fibroblast","MAN1A1","ENSMUSG00000003746","ENSG00000111885","MAN1A1","Man1a"
"99","Fibroblast","C1RL","ENSMUSG00000038527","ENSG00000139178","C1RL","C1rl"
"100","Fibroblast","COL1A2","ENSMUSG00000029661","ENSG00000164692","COL1A2","Col1a2"
"101","Fibroblast","CYP4B1","ENSMUSG00000028713","ENSG00000142973","CYP4B1","Cyp4b1"
"102","Fibroblast","PLD1","ENSMUSG00000027695","ENSG00000075651","PLD1","Pld1"
"103","Fibroblast","GPC3","ENSMUSG00000055653","ENSG00000147257","GPC3","Gpc3"
"104","Fibroblast","ENAH","ENSMUSG00000022995","ENSG00000154380","ENAH","Enah"
"105","Fibroblast","PEAK1","ENSMUSG00000074305","ENSG00000173517","PEAK1","Peak1"
"106","Fibroblast","PLCL2","ENSMUSG00000038910","ENSG00000154822","PLCL2","Plcl2"
"107","Fibroblast","PRICKLE1","ENSMUSG00000036158","ENSG00000139174","PRICKLE1","Prickle1"
"108","Fibroblast","PLPP3","ENSMUSG00000028517","ENSG00000162407","PLPP3","Plpp3"
"110","Fibroblast","TNXB","ENSMUSG00000033327","ENSG00000168477","TNXB","Tnxb"
"111","Fibroblast","SLC38A2","ENSMUSG00000022462","ENSG00000134294","SLC38A2","Slc38a2"
"112","Fibroblast","SYNE2","ENSMUSG00000063450","ENSG00000054654","SYNE2","Syne2"
"113","Fibroblast","EPHA3","ENSMUSG00000052504","ENSG00000044524","EPHA3","Epha3"
"114","Fibroblast","PAM","ENSMUSG00000026335","ENSG00000145730","PAM","Pam"
"115","Fibroblast","NEGR1","ENSMUSG00000040037","ENSG00000172260","NEGR1","Negr1"
"116","Fibroblast","CPED1","ENSMUSG00000062980","ENSG00000106034","CPED1","Cped1"
"117","Fibroblast","ARHGAP21","ENSMUSG00000036591","ENSG00000107863","ARHGAP21","Arhgap21"
"118","Fibroblast","UACA","ENSMUSG00000034485","ENSG00000137831","UACA","Uaca"
"119","Fibroblast","NOVA1","ENSMUSG00000021047","ENSG00000139910","NOVA1","Nova1"
"120","Fibroblast","RHOBTB3","ENSMUSG00000021589","ENSG00000164292","RHOBTB3","Rhobtb3"
"121","Fibroblast","STK39","ENSMUSG00000027030","ENSG00000198648","STK39","Stk39"
"122","Fibroblast","TGFBR3","ENSMUSG00000029287","ENSG00000069702","TGFBR3","Tgfbr3"
"123","Fibroblast","TCF4","ENSMUSG00000053477","ENSG00000196628","TCF4","Tcf4"
"124","Fibroblast","SCARA5","ENSMUSG00000022032","ENSG00000168079","SCARA5","Scara5"
"125","Fibroblast","LIMA1","ENSMUSG00000023022","ENSG00000050405","LIMA1","Lima1"
"126","Fibroblast","ITGA10","ENSMUSG00000090210","ENSG00000143127","ITGA10","Itga10"
"127","Fibroblast","CLDN1","ENSMUSG00000022512","ENSG00000163347","CLDN1","Cldn1"
"128","Fibroblast","COLEC12","ENSMUSG00000036103","ENSG00000158270","COLEC12","Colec12"
"129","Fibroblast","SMAD3","ENSMUSG00000032402","ENSG00000166949","SMAD3","Smad3"
"130","Fibroblast","PTCH1","ENSMUSG00000021466","ENSG00000185920","PTCH1","Ptch1"
"131","Fibroblast","ARHGAP29","ENSMUSG00000039831","ENSG00000137962","ARHGAP29","Arhgap29"
"132","Fibroblast","STXBP6","ENSMUSG00000046314","ENSG00000168952","STXBP6","Stxbp6"
"133","Fibroblast","KIAA1671","ENSMUSG00000051339","ENSG00000197077","KIAA1671","2900026A02Rik"
"134","Fibroblast","SERPING1","ENSMUSG00000023224","ENSG00000149131","SERPING1","Serping1"
"135","Fibroblast","MSRB3","ENSMUSG00000051236","ENSG00000174099","MSRB3","Msrb3"
"136","Fibroblast","CRIM1","ENSMUSG00000024074","ENSG00000150938","CRIM1","Crim1"
"137","Fibroblast","FN1","ENSMUSG00000026193","ENSG00000115414","FN1","Fn1"
"138","Fibroblast","ZFAND5","ENSMUSG00000024750","ENSG00000107372","ZFAND5","Zfand5"
"140","Fibroblast","PDGFRL","ENSMUSG00000031595","ENSG00000104213","PDGFRL","Pdgfrl"
"141","Fibroblast","SVEP1","ENSMUSG00000028369","ENSG00000165124","SVEP1","Svep1"
"142","Fibroblast","PLEKHA5","ENSMUSG00000030231","ENSG00000052126","PLEKHA5","Plekha5"
"143","Fibroblast","ANKH","ENSMUSG00000022265","ENSG00000154122","ANKH","Ank"
"144","Fibroblast","SLC2A1","ENSMUSG00000028645","ENSG00000117394","SLC2A1","Slc2a1"
"145","Fibroblast","PTPN9","ENSMUSG00000032290","ENSG00000169410","PTPN9","Ptpn9"
"146","Fibroblast","PLCB4","ENSMUSG00000039943","ENSG00000101333","PLCB4","Plcb4"
"147","Fibroblast","TXNIP","ENSMUSG00000038393","ENSG00000265972","TXNIP","Txnip"
"148","Fibroblast","CDH11","ENSMUSG00000031673","ENSG00000140937","CDH11","Cdh11"
"149","Fibroblast","C1R","ENSMUSG00000055172","ENSG00000159403","C1R","C1ra"
"150","Fibroblast","SPRED2","ENSMUSG00000045671","ENSG00000198369","SPRED2","Spred2"
"152","Fibroblast","SDC2","ENSMUSG00000022261","ENSG00000169439","SDC2","Sdc2"
"153","Fibroblast","ESYT2","ENSMUSG00000021171","ENSG00000117868","ESYT2","Esyt2"
"154","Fibroblast","CHSY3","ENSMUSG00000058152","ENSG00000198108","CHSY3","Chsy3"
"155","Fibroblast","FBN1","ENSMUSG00000027204","ENSG00000166147","FBN1","Fbn1"
"156","Fibroblast","MXRA8","ENSMUSG00000029070","ENSG00000162576","MXRA8","Mxra8"
"157","Fibroblast","SERPINF1","ENSMUSG00000000753","ENSG00000132386","SERPINF1","Serpinf1"
"158","Fibroblast","COL4A1","ENSMUSG00000031502","ENSG00000187498","COL4A1","Col4a1"
"159","Fibroblast","MPZL1","ENSMUSG00000026566","ENSG00000197965","MPZL1","Mpzl1"
"160","Fibroblast","TBX18","ENSMUSG00000032419","ENSG00000112837","TBX18","Tbx18"
"162","Fibroblast","DAPK2","ENSMUSG00000032380","ENSG00000035664","DAPK2","Dapk2"
"163","Fibroblast","ITGBL1","ENSMUSG00000032925","ENSG00000198542","ITGBL1","Itgbl1"
"164","Fibroblast","TNS2","ENSMUSG00000037003","ENSG00000111077","TNS2","Tns2"
"166","Fibroblast","EPS8","ENSMUSG00000015766","ENSG00000151491","EPS8","Eps8"
"167","Fibroblast","ZHX3","ENSMUSG00000035877","ENSG00000174306","ZHX3","Zhx3"
"168","Fibroblast","OSBPL10","ENSMUSG00000040875","ENSG00000144645","OSBPL10","Osbpl10"
"169","Fibroblast","PHLDB1","ENSMUSG00000048537","ENSG00000019144","PHLDB1","Phldb1"
"170","Fibroblast","DHRS3","ENSMUSG00000066026","ENSG00000162496","DHRS3","Dhrs3"
"171","Fibroblast","SCUBE1","ENSMUSG00000016763","ENSG00000159307","SCUBE1","Scube1"
"172","Fibroblast","TPM1","ENSMUSG00000032366","ENSG00000140416","TPM1","Tpm1"
"173","Fibroblast","FAM110B","ENSMUSG00000049119","ENSG00000169122","FAM110B","Fam110b"
"174","Fibroblast","PRELP","ENSMUSG00000041577","ENSG00000188783","PRELP","Prelp"
"175","Fibroblast","EBF3","ENSMUSG00000010476","ENSG00000108001","EBF3","Ebf3"
"176","Fibroblast","PKDCC","ENSMUSG00000024247","ENSG00000162878","PKDCC","Pkdcc"
"177","Fibroblast","PDXK","ENSMUSG00000032788","ENSG00000160209","PDXK","Pdxk"
"179","Fibroblast","CARMIL1","ENSMUSG00000021338","ENSG00000079691","CARMIL1","Carmil1"
"180","Fibroblast","IGFBP6","ENSMUSG00000023046","ENSG00000167779","IGFBP6","Igfbp6"
"181","Fibroblast","NIPAL2","ENSMUSG00000038879","ENSG00000104361","NIPAL2","Nipal2"
"182","Fibroblast","PRRX1","ENSMUSG00000026586","ENSG00000116132","PRRX1","Prrx1"
"183","Fibroblast","SSBP3","ENSMUSG00000061887","ENSG00000157216","SSBP3","Ssbp3"
"184","Fibroblast","MFAP5","ENSMUSG00000030116","ENSG00000197614","MFAP5","Mfap5"
"185","Fibroblast","CEP112","ENSMUSG00000020728","ENSG00000154240","CEP112","Cep112"
"186","Fibroblast","ABLIM1","ENSMUSG00000025085","ENSG00000099204","ABLIM1","Ablim1"
"188","Fibroblast","CLDN11","ENSMUSG00000037625","ENSG00000013297","CLDN11","Cldn11"
"189","Fibroblast","KLF5","ENSMUSG00000005148","ENSG00000102554","KLF5","Klf5"
"190","Fibroblast","FBLN1","ENSMUSG00000006369","ENSG00000077942","FBLN1","Fbln1"
"191","Fibroblast","SNX9","ENSMUSG00000002365","ENSG00000130340","SNX9","Snx9"
"192","Fibroblast","PARVA","ENSMUSG00000030770","ENSG00000197702","PARVA","Parva"
"193","Fibroblast","MYO6","ENSMUSG00000033577","ENSG00000196586","MYO6","Myo6"
"194","Fibroblast","GRID1","ENSMUSG00000041078","ENSG00000182771","GRID1","Grid1"
"195","Fibroblast","SESTD1","ENSMUSG00000042272","ENSG00000187231","SESTD1","Sestd1"
"196","Fibroblast","TAGLN","ENSMUSG00000032085","ENSG00000149591","TAGLN","Tagln"
"197","Fibroblast","PAWR","ENSMUSG00000035873","ENSG00000177425","PAWR","Pawr"
"198","Fibroblast","FGFR1","ENSMUSG00000031565","ENSG00000077782","FGFR1","Fgfr1"
"199","Fibroblast","COL1A1","ENSMUSG00000001506","ENSG00000108821","COL1A1","Col1a1"
"202","Fibroblast","MLPH","ENSMUSG00000026303","ENSG00000115648","MLPH","Mlph"
"203","Fibroblast","SLC6A20","ENSMUSG00000036814","ENSG00000163817","SLC6A20","Slc6a20a"
"204","Fibroblast","PPP1R12B","ENSMUSG00000073557","ENSG00000077157","PPP1R12B","Ppp1r12b"
"205","Fibroblast","LEPR","ENSMUSG00000057722","ENSG00000116678","LEPR","Lepr"
"206","Fibroblast","CALD1","ENSMUSG00000029761","ENSG00000122786","CALD1","Cald1"
"207","Fibroblast","NCOA7","ENSMUSG00000039697","ENSG00000111912","NCOA7","Ncoa7"
"208","Fibroblast","GAB2","ENSMUSG00000004508","ENSG00000033327","GAB2","Gab2"
"209","Fibroblast","MACF1","ENSMUSG00000028649","ENSG00000127603","MACF1","Macf1"
"210","Fibroblast","SLIT3","ENSMUSG00000056427","ENSG00000184347","SLIT3","Slit3"
"211","Fibroblast","NGFR","ENSMUSG00000000120","ENSG00000064300","NGFR","Ngfr"
"212","Fibroblast","XYLT1","ENSMUSG00000030657","ENSG00000103489","XYLT1","Xylt1"
"213","Fibroblast","DYNC1I1","ENSMUSG00000029757","ENSG00000158560","DYNC1I1","Dync1i1"
"214","Fibroblast","JAM3","ENSMUSG00000031990","ENSG00000166086","JAM3","Jam3"
"215","Fibroblast","PLEKHA2","ENSMUSG00000031557","ENSG00000169499","PLEKHA2","Plekha2"
"217","Fibroblast","EFNA5","ENSMUSG00000048915","ENSG00000184349","EFNA5","Efna5"
"218","Fibroblast","ABCA1","ENSMUSG00000015243","ENSG00000165029","ABCA1","Abca1"
"219","Fibroblast","PTGFR","ENSMUSG00000028036","ENSG00000122420","PTGFR","Ptgfr"
"220","Fibroblast","SORCS2","ENSMUSG00000029093","ENSG00000184985","SORCS2","Sorcs2"
"221","Fibroblast","SRPX2","ENSMUSG00000031253","ENSG00000102359","SRPX2","Srpx2"
"222","Fibroblast","TANK","ENSMUSG00000064289","ENSG00000136560","TANK","Tank"
"223","Fibroblast","CYP4X1","ENSMUSG00000047155","ENSG00000186377","CYP4X1","Cyp4x1"
"224","Fibroblast","CDK14","ENSMUSG00000028926","ENSG00000058091","CDK14","Cdk14"
"225","Fibroblast","ABCA6","ENSMUSG00000044749","ENSG00000154262","ABCA6","Abca6"
"226","Fibroblast","BOC","ENSMUSG00000022687","ENSG00000144857","BOC","Boc"
"227","Fibroblast","NR2F2","ENSMUSG00000030551","ENSG00000185551","NR2F2","Nr2f2"
"228","Fibroblast","BMP5","ENSMUSG00000032179","ENSG00000112175","BMP5","Bmp5"
"229","Fibroblast","YBX3","ENSMUSG00000030189","ENSG00000060138","YBX3","Ybx3"
"230","Fibroblast","NHSL1","ENSMUSG00000039835","ENSG00000135540","NHSL1","Nhsl1"
"231","Fibroblast","SMOC2","ENSMUSG00000023886","ENSG00000112562","SMOC2","Smoc2"
"232","Fibroblast","SETBP1","ENSMUSG00000024548","ENSG00000152217","SETBP1","Setbp1"
"233","Fibroblast","PTBP3","ENSMUSG00000028382","ENSG00000119314","PTBP3","Ptbp3"
"234","Fibroblast","ANTXR2","ENSMUSG00000029338","ENSG00000163297","ANTXR2","Antxr2"
"235","Fibroblast","NRP1","ENSMUSG00000025810","ENSG00000099250","NRP1","Nrp1"
"236","Fibroblast","ANGPT1","ENSMUSG00000022309","ENSG00000154188","ANGPT1","Angpt1"
"237","Fibroblast","DYNC2H1","ENSMUSG00000047193","ENSG00000187240","DYNC2H1","Dync2h1"
"238","Fibroblast","ECM2","ENSMUSG00000043631","ENSG00000106823","ECM2","Ecm2"
"239","Fibroblast","DAPK1","ENSMUSG00000021559","ENSG00000196730","DAPK1","Dapk1"
"240","Fibroblast","FBXO32","ENSMUSG00000022358","ENSG00000156804","FBXO32","Fbxo32"
"241","Fibroblast","A4GALT","ENSMUSG00000047878","ENSG00000128274","A4GALT","A4galt"
"242","Fibroblast","C1orf21","ENSMUSG00000032666","ENSG00000116667","C1orf21","1700025G04Rik"
"243","Fibroblast","SVIL","ENSMUSG00000024236","ENSG00000197321","SVIL","Svil"
"244","Fibroblast","ALDH1L1","ENSMUSG00000030088","ENSG00000144908","ALDH1L1","Aldh1l1"
"245","Fibroblast","MMP2","ENSMUSG00000031740","ENSG00000087245","MMP2","Mmp2"
"246","Fibroblast","NT5C2","ENSMUSG00000025041","ENSG00000076685","NT5C2","Nt5c2"
"247","Fibroblast","SRSF3","ENSMUSG00000071172","ENSG00000112081","SRSF3","Srsf3"
"249","Fibroblast","PCOLCE","ENSMUSG00000029718","ENSG00000106333","PCOLCE","Pcolce"
"250","Fibroblast","INSR","ENSMUSG00000005534","ENSG00000171105","INSR","Insr"
"251","Fibroblast","CADPS2","ENSMUSG00000017978","ENSG00000081803","CADPS2","Cadps2"
"252","Fibroblast","CACNA2D3","ENSMUSG00000021991","ENSG00000157445","CACNA2D3","Cacna2d3"
"253","Fibroblast","OAF","ENSMUSG00000032014","ENSG00000184232","OAF","Oaf"
"254","Fibroblast","AKT3","ENSMUSG00000019699","ENSG00000117020","AKT3","Akt3"
"255","Fibroblast","ECHDC2","ENSMUSG00000028601","ENSG00000121310","ECHDC2","Echdc2"
"256","Fibroblast","GAS6","ENSMUSG00000031451","ENSG00000183087","GAS6","Gas6"
"257","Fibroblast","ABCA5","ENSMUSG00000018800","ENSG00000154265","ABCA5","Abca5"
"258","Fibroblast","F3","ENSMUSG00000028128","ENSG00000117525","F3","F3"
"259","Fibroblast","TMEM135","ENSMUSG00000039428","ENSG00000166575","TMEM135","Tmem135"
"263","Fibroblast","GDPD5","ENSMUSG00000035314","ENSG00000158555","GDPD5","Gdpd5"
"264","Fibroblast","BHMT2","ENSMUSG00000042118","ENSG00000132840","BHMT2","Bhmt2"
"265","Fibroblast","FBXL7","ENSMUSG00000043556","ENSG00000183580","FBXL7","Fbxl7"
"266","Fibroblast","ADCY2","ENSMUSG00000021536","ENSG00000078295","ADCY2","Adcy2"
"267","Fibroblast","KALRN","ENSMUSG00000061751","ENSG00000160145","KALRN","Kalrn"
"268","Fibroblast","MAST4","ENSMUSG00000034751","ENSG00000069020","MAST4","Mast4"
"269","Fibroblast","PAPLN","ENSMUSG00000021223","ENSG00000100767","PAPLN","Papln"
"270","Fibroblast","DOCK9","ENSMUSG00000025558","ENSG00000088387","DOCK9","Dock9"
"271","Fibroblast","TRABD2B","ENSMUSG00000070867","ENSG00000269113","TRABD2B","Trabd2b"
"272","Fibroblast","MRC2","ENSMUSG00000020695","ENSG00000011028","MRC2","Mrc2"
"273","Fibroblast","TBC1D2B","ENSMUSG00000037410","ENSG00000167202","TBC1D2B","Tbc1d2b"
"274","Fibroblast","IGFBP4","ENSMUSG00000017493","ENSG00000141753","IGFBP4","Igfbp4"
"276","Fibroblast","TNS1","ENSMUSG00000055322","ENSG00000079308","TNS1","Tns1"
"277","Fibroblast","EPN2","ENSMUSG00000001036","ENSG00000072134","EPN2","Epn2"
"278","Fibroblast","GALNT15","ENSMUSG00000021903","ENSG00000131386","GALNT15","Galnt15"
"279","Fibroblast","STEAP4","ENSMUSG00000012428","ENSG00000127954","STEAP4","Steap4"
"280","Fibroblast","PROS1","ENSMUSG00000022912","ENSG00000184500","PROS1","Pros1"
"281","Fibroblast","STXBP4","ENSMUSG00000020546","ENSG00000166263","STXBP4","Stxbp4"
"282","Fibroblast","FGF13","ENSMUSG00000031137","ENSG00000129682","FGF13","Fgf13"
"283","Fibroblast","LAMA2","ENSMUSG00000019899","ENSG00000196569","LAMA2","Lama2"
"284","Fibroblast","PEAR1","ENSMUSG00000028073","ENSG00000187800","PEAR1","Pear1"
"285","Fibroblast","TBC1D4","ENSMUSG00000033083","ENSG00000136111","TBC1D4","Tbc1d4"
"287","Fibroblast","GLI2","ENSMUSG00000048402","ENSG00000074047","GLI2","Gli2"
"288","Fibroblast","LMOD1","ENSMUSG00000048096","ENSG00000163431","LMOD1","Lmod1"
"289","Fibroblast","SEC24D","ENSMUSG00000039234","ENSG00000150961","SEC24D","Sec24d"
"290","Fibroblast","AOX1","ENSMUSG00000063558","ENSG00000138356","AOX1","Aox1"
"291","Fibroblast","PTCH2","ENSMUSG00000028681","ENSG00000117425","PTCH2","Ptch2"
"292","Fibroblast","AHCYL2","ENSMUSG00000029772","ENSG00000158467","AHCYL2","Ahcyl2"
"293","Fibroblast","USP25","ENSMUSG00000022867","ENSG00000155313","USP25","Usp25"
"295","Fibroblast","RBMS1","ENSMUSG00000026970","ENSG00000153250","RBMS1","Rbms1"
"296","Fibroblast","PLAGL1","ENSMUSG00000019817","ENSG00000118495","PLAGL1","Plagl1"
"297","Fibroblast","TLE2","ENSMUSG00000034771","ENSG00000065717","TLE2","Tle2"
"298","Fibroblast","ACTN1","ENSMUSG00000015143","ENSG00000072110","ACTN1","Actn1"
"299","Fibroblast","NGF","ENSMUSG00000027859","ENSG00000134259","NGF","Ngf"
"300","Fibroblast","PIAS1","ENSMUSG00000032405","ENSG00000033800","PIAS1","Pias1"
"301","Fibroblast","FGD6","ENSMUSG00000020021","ENSG00000180263","FGD6","Fgd6"
"302","Fibroblast","SNTG2","ENSMUSG00000020672","ENSG00000172554","SNTG2","Sntg2"
"303","Fibroblast","NOS1AP","ENSMUSG00000038473","ENSG00000198929","NOS1AP","Nos1ap"
