Chr,Start,End,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Ensembl,gene
chr1,169367587,169368086,promoter-TSS (NM_013330),promoter-TSS (NM_013330),-39,NM_013330,29922,ENSG00000143156,NME7
chr1,1890904,1891403,promoter-TSS (NM_002074),promoter-TSS (NM_002074),-36,NM_001282538,2782,ENSG00000078369,GNB1
chr1,1485652,1486151,"intron (NM_031921, intron 9 of 15)","intron (NM_031921, intron 9 of 15)",8052,NM_001317238,83858,ENSG00000160072,ATAD3B
chr1,230153478,230153977,"intron (NM_004481, intron 1 of 15)","intron (NM_004481, intron 1 of 15)",86489,NM_004481,2590,ENSG00000143641,GALNT2
chr1,144551923,144552422,promoter-TSS (NR_145576),promoter-TSS (NR_145576),-229,NR_145576,6063,ENSG00000278099,RNVU1-11
chr1,39987811,39988310,Intergenic,LTR33|LTR|ERVL,32915,NR_109896,84879,ENSG00000168389,MFSD2A
chr1,236003794,236004293,"intron (NM_002508, intron 12 of 19)",AluSz6|SINE|Alu,61047,NM_002508,4811,ENSG00000116962,NID1
chr1,149636232,149636731,"intron (NR_111950, intron 1 of 8)",CpG,29469,NR_111952,57234,ENSG00000277147,LINC00869
chr1,150067401,150067900,promoter-TSS (NM_001279354),promoter-TSS (NM_001279354),-126,NR_103998,11311,ENSG00000136631,VPS45
chr1,26783968,26784467,Intergenic,Intergenic,-3746,NM_017837,55650,ENSG00000060642,PIGV
chr1,112390769,112391268,Intergenic,Intergenic,-5196,NM_018704,55917,ENSG00000143079,CTTNBP2NL
chr1,108816394,108816893,"intron (NM_152763, intron 15 of 15)","intron (NM_152763, intron 15 of 15)",40451,NM_152763,254268,ENSG00000162641,AKNAD1
chr1,3127883,3128382,TTS (NR_036215),TTS (NR_036215),157,NR_036215,100422968,ENSG00000283572,MIR4251
chr1,154272302,154272801,promoter-TSS (NM_001018837),promoter-TSS (NM_001018837),-12,NM_006118,10456,ENSG00000143575,HAX1
chr1,212034979,212035478,promoter-TSS (NM_016448),promoter-TSS (NM_016448),-325,NM_001286229,51514,ENSG00000143476,DTL
chr1,205750079,205750578,promoter-TSS (NM_022731),promoter-TSS (NM_022731),-146,NM_022731,64710,ENSG00000069275,NUCKS1
chr1,44631853,44632352,"intron (NM_001319957, intron 4 of 13)",CpG,38954,NR_145816,109623472,,SNORD145
chr1,231923839,231924338,"intron (NM_001164541, intron 9 of 9)","intron (NM_001164541, intron 9 of 9)",-1746,NR_126441,104472714,ENSG00000226758,DISC1-IT1
chr1,1574611,1575110,promoter-TSS (NM_014188),promoter-TSS (NM_014188),3,NM_014188,29101,ENSG00000160075,SSU72
chr1,157034052,157034551,"intron (NM_014784, intron 1 of 39)","intron (NM_014784, intron 1 of 39)",11441,NM_014784,9826,ENSG00000132694,ARHGEF11
chr1,37131213,37131712,Intergenic,Intergenic,-30101,NR_036217,100422898,ENSG00000264698,MIR4255
chr1,15975835,15976334,promoter-TSS (NM_001324138),promoter-TSS (NM_001324138),48,NM_001324138,7709,ENSG00000116809,ZBTB17
chr1,115727826,115728325,"intron (NM_001232, intron 5 of 10)","intron (NM_001232, intron 5 of 10)",40730,NM_001232,845,ENSG00000118729,CASQ2
chr1,230858989,230859488,"intron (NM_001136494, intron 3 of 5)","intron (NM_001136494, intron 3 of 5)",-3231,NM_001136495,84886,ENSG00000119280,C1orf198
chr1,151347096,151347595,promoter-TSS (NM_000449),promoter-TSS (NM_000449),-52,NM_000449,5993,ENSG00000143390,RFX5
chr1,15703535,15704034,"intron (NM_015164, intron 1 of 19)","intron (NM_015164, intron 1 of 19)",19464,NM_015164,23207,ENSG00000116786,PLEKHM2
chr1,94592500,94592999,Intergenic,Intergenic,49047,NR_162147,113219466,,MIR12133
chr1,109392858,109393357,"5' UTR (NM_001205228, exon 1 of 20)","5' UTR (NM_001205228, exon 1 of 20)",250,NM_001205228,6272,ENSG00000134243,SORT1
chr1,203673745,203674244,"intron (NM_001365784, intron 1 of 20)","intron (NM_001365784, intron 1 of 20)",46057,NM_001365784,493,ENSG00000058668,ATP2B4
chr1,39635054,39635553,"intron (NM_014571, intron 1 of 4)","intron (NM_014571, intron 1 of 4)",4340,NM_014571,26508,ENSG00000163909,HEYL
chr1,151006573,151007072,promoter-TSS (NM_001040217),promoter-TSS (NM_001040217),-25,NM_001163260,55793,ENSG00000143409,MINDY1
chr1,47314060,47314559,promoter-TSS (NM_001282937),promoter-TSS (NM_001282937),-162,NM_003035,6491,ENSG00000123473,STIL
chr1,62783614,62784113,promoter-TSS (NM_032852),promoter-TSS (NM_032852),-243,NM_178221,84938,ENSG00000125703,ATG4C
chr1,214551493,214551992,promoter-TSS (NM_005401),promoter-TSS (NM_005401),-140,NM_005401,5784,ENSG00000152104,PTPN14
chr1,148388603,148389102,TTS (NR_106967),TTS (NR_106967),570,NR_106967,102466225,ENSG00000278596,MIR6077
chr1,149390249,149390748,promoter-TSS (NM_001364013),promoter-TSS (NM_001364013),-140,NM_001364013,100996717,ENSG00000286219,NOTCH2NLC
chr1,65066591,65067090,"intron (NM_001321853, intron 1 of 26)",CpG-1213,906,NM_001321854,3716,ENSG00000162434,JAK1
chr1,56579153,56579652,"5' UTR (NM_003713, exon 1 of 6)","5' UTR (NM_003713, exon 1 of 6)",161,NM_003713,8613,ENSG00000162407,PLPP3
chr10,100413100,100413599,Intergenic,MamRTE1|LINE|RTE-BovB,39773,NR_026762,90271,ENSG00000235823,OLMALINC
chr10,95389194,95389693,"intron (NM_001034955, intron 12 of 30)",AluJo|SINE|Alu,51737,NM_001034957,10580,ENSG00000095637,SORBS1
chr10,35643093,35643592,Intergenic,Intergenic,-1908,NM_031866,8325,ENSG00000177283,FZD8
chr10,79826323,79826822,promoter-TSS (NR_120613),promoter-TSS (NR_120613),22,NR_120612,101060691,ENSG00000225484,NUTM2B-AS1
chr10,125057166,125057665,"intron (NM_001321013, intron 1 of 9)","intron (NM_001321013, intron 1 of 9)",-24545,NR_036178,100423041,ENSG00000264572,MIR4296
chr10,63058231,63058730,Intergenic,Intergenic,-74767,NM_001282405,29982,ENSG00000148572,NRBF2
chr10,119634093,119634592,Intergenic,AluJb|SINE|Alu,-17028,NM_004281,9531,ENSG00000151929,BAG3
chr10,4820770,4821269,Intergenic,Intergenic,-5158,NM_001271025,83592,ENSG00000165568,AKR1E2
chr10,5684396,5684895,promoter-TSS (NM_001321785),promoter-TSS (NM_001321785),-193,NM_001321783,54906,ENSG00000108021,TASOR2
chr10,124744262,124744761,promoter-TSS (NM_014661),promoter-TSS (NM_014661),-133,NM_014661,9679,ENSG00000189319,FAM53B
chr10,114395345,114395844,"intron (NM_001351073, intron 1 of 19)","intron (NM_001351073, intron 1 of 19)",8908,NM_001001936,84632,ENSG00000169129,AFAP1L2
chr10,11164593,11165092,promoter-TSS (NM_001083591),promoter-TSS (NM_001083591),-39,NM_001326347,10659,ENSG00000048740,CELF2
chr10,11197330,11197829,"intron (NM_001326339, intron 2 of 11)","intron (NM_001326339, intron 2 of 11)",32549,NM_001025076,10659,ENSG00000048740,CELF2
chr10,394686,395185,"intron (NM_014974, intron 10 of 36)",L1MA7|LINE|L1,214941,NM_001202467,10771,ENSG00000015171,ZMYND11
chr10,80022752,80023251,Intergenic,L1P4d|LINE|L1,-55645,NM_001270372,80195,ENSG00000133678,TMEM254
chr10,91798228,91798727,promoter-TSS (NR_108070),promoter-TSS (NR_108070),51,NM_025235,80351,ENSG00000107854,TNKS2
chr10,29535207,29535706,"intron (NM_021738, intron 7 of 37)","intron (NM_021738, intron 7 of 37)",9641,NR_030335,693189,ENSG00000207612,MIR604
chr10,21724604,21725103,"intron (NM_001195626, intron 14 of 22)","intron (NM_001195626, intron 14 of 22)",190681,NM_001195628,8028,ENSG00000078403,MLLT10
chr10,34967460,34967959,Intergenic,Intergenic,106574,NM_001198778,8453,ENSG00000108094,CUL2
chr10,72242605,72243104,Intergenic,L2c|LINE|L2,-25720,NR_045564,51008,ENSG00000138303,ASCC1
chr10,79403457,79403956,"intron (NM_153367, intron 2 of 3)","intron (NM_153367, intron 2 of 3)",41918,NM_153367,219654,ENSG00000165424,ZCCHC24
chr10,14024676,14025175,"intron (NM_018027, intron 2 of 24)","intron (NM_018027, intron 2 of 24)",-16375,NM_001318336,55691,ENSG00000151474,FRMD4A
chr10,62049037,62049536,promoter-TSS (NM_001244638),promoter-TSS (NM_001244638),-71,NM_001244638,84159,ENSG00000150347,ARID5B
chr10,101042600,101043099,Intergenic,Intergenic,11610,NM_030971,81855,ENSG00000107819,SFXN3
chr10,27154093,27154592,promoter-TSS (NM_032844),promoter-TSS (NM_032844),42,NM_014263,10730,ENSG00000136758,YME1L1
chr10,91880304,91880803,Intergenic,Intergenic,28933,NM_152429,143282,ENSG00000174721,FGFBP3
chr10,16986165,16986664,"intron (NM_001081, intron 29 of 66)","intron (NM_001081, intron 29 of 66)",143403,NM_001081,8029,ENSG00000107611,CUBN
chr10,36345741,36346240,Intergenic,Intergenic,567688,NR_110138,102578074,ENSG00000280719,PCAT5
chr10,131981782,131982281,promoter-TSS (NM_004052),promoter-TSS (NM_004052),-18,NM_004052,664,ENSG00000176171,BNIP3
chr10,102582031,102582530,"intron (NM_001178133, intron 3 of 10)","intron (NM_001178133, intron 3 of 10)",-62215,NR_144321,81603,ENSG00000171206,TRIM8
chr10,112949808,112950307,promoter-TSS (NM_001198529),promoter-TSS (NM_001198529),-190,NM_001367943,6934,ENSG00000148737,TCF7L2
chr10,13885525,13886024,"intron (NM_018027, intron 2 of 24)","intron (NM_018027, intron 2 of 24)",86122,NM_001318337,55691,ENSG00000151474,FRMD4A
chr10,21315746,21316245,Intergenic,Intergenic,56955,NR_155751,105376444,,LINC02643
chr10,31669348,31669847,Intergenic,L1MEg|LINE|L1,239329,NM_001270699,94134,ENSG00000165322,ARHGAP12
chr10,71975896,71976395,"intron (NM_004273, intron 1 of 2)","intron (NM_004273, intron 1 of 2)",11750,NM_004273,9469,ENSG00000122863,CHST3
chr10,50622046,50622545,"intron (NM_147156, intron 1 of 10)","intron (NM_147156, intron 1 of 10)",1661,NM_147156,259230,ENSG00000198964,SGMS1
chr10,3570771,3571270,"intron (NR_131187, intron 1 of 1)","intron (NR_131187, intron 1 of 1)",-68182,NR_155746,101927880,,LINC02669
chr10,80030097,80030596,Intergenic,L1P4d|LINE|L1,-48300,NM_001270372,80195,ENSG00000133678,TMEM254
chr10,110211043,110211542,"intron (NM_001008541, intron 1 of 4)","intron (NM_001008541, intron 1 of 4)",1061,NM_001008541,4601,ENSG00000119950,MXI1
chr10,11757824,11758323,"intron (NM_024693, intron 4 of 4)","intron (NM_024693, intron 4 of 4)",15691,NM_024693,79746,ENSG00000134463,ECHDC3
chr10,44974899,44975398,TTS (NM_007021),TTS (NM_007021),3661,NM_007021,11067,ENSG00000165507,DEPP1
chr10,110567452,110567951,promoter-TSS (NM_005445),promoter-TSS (NM_005445),10,NM_005445,9126,ENSG00000108055,SMC3
chr10,100346823,100347322,promoter-TSS (NM_005063),promoter-TSS (NM_005063),-161,NM_005063,6319,ENSG00000099194,SCD
chr10,122141063,122141562,"intron (NM_001291876, intron 6 of 19)","intron (NM_001291876, intron 6 of 19)",-22318,NM_006997,10579,ENSG00000138162,TACC2
chr10,3935119,3935618,Intergenic,Intergenic,-55792,NR_106726,102464829,ENSG00000274809,MIR6078
chr10,91023385,91023884,Intergenic,MamGypsy2-LTR|LTR|Gypsy,-9532,NR_134319,105378430,,LOC105378430
chr11,46599366,46599865,Intergenic,AluJb|SINE|Alu,-5592,NM_001367471,55626,ENSG00000110497,AMBRA1
chr11,12692572,12693071,"intron (NM_021961, intron 2 of 12)","intron (NM_021961, intron 2 of 12)",18400,NM_021961,7003,ENSG00000187079,TEAD1
chr11,77602307,77602806,"intron (NM_001363477, intron 1 of 1)",Tigger12c|DNA|TcMar-Tigger,12603,NM_173039,282679,ENSG00000178301,AQP11
chr11,119334186,119334685,promoter-TSS (NM_032015),promoter-TSS (NM_032015),-92,NM_032015,79102,ENSG00000173456,RNF26
chr11,96012116,96012615,"intron (NM_032427, intron 2 of 4)","intron (NM_032427, intron 2 of 4)",-88158,NM_016156,8898,ENSG00000087053,MTMR2
chr11,114295049,114295548,promoter-TSS (NM_006169),promoter-TSS (NM_006169),-515,NM_006169,4837,ENSG00000166741,NNMT
chr11,82864221,82864720,"intron (NM_005040, intron 1 of 8)",MIR3|SINE|MIR,35960,NM_005040,5547,ENSG00000137509,PRCP
chr11,16148217,16148716,"intron (NM_033326, intron 6 of 15)","intron (NM_033326, intron 6 of 15)",-178845,NR_106721,102464826,ENSG00000284094,MIR6073
chr11,19680138,19680637,"intron (NM_001111018, intron 1 of 37)","intron (NM_001111018, intron 1 of 37)",-32450,NM_145117,89797,ENSG00000166833,NAV2
chr11,62678917,62679416,promoter-TSS (NM_001286078),promoter-TSS (NM_001286078),-49,NM_001286078,51035,ENSG00000162191,UBXN1
chr11,96243138,96243637,"intron (NM_032427, intron 1 of 4)","intron (NM_032427, intron 1 of 4)",-98051,NR_036125,100422991,ENSG00000266192,MIR1260B
chr11,133339654,133340153,"intron (NM_001012393, intron 1 of 7)","intron (NM_001012393, intron 1 of 7)",192598,NM_001012393,4978,ENSG00000183715,OPCML
chr11,15117755,15118254,"intron (NM_001042536, intron 1 of 12)","intron (NM_001042536, intron 1 of 12)",3081,NM_001042536,387755,ENSG00000188487,INSC
chr11,133966227,133966726,Intergenic,Intergenic,-9680,NM_001277285,22997,ENSG00000080854,IGSF9B
chr11,45146972,45147471,promoter-TSS (NM_001256696),promoter-TSS (NM_001256696),-122,NM_001256695,56981,ENSG00000019485,PRDM11
chr11,72793562,72794061,promoter-TSS (NM_006645),promoter-TSS (NM_006645),-106,NM_006645,10809,ENSG00000214530,STARD10
chr11,33690633,33691132,Intergenic,Intergenic,9858,NM_001166692,100131378,ENSG00000205177,C11orf91
chr11,33691910,33692409,Intergenic,Intergenic,8581,NM_001166692,100131378,ENSG00000205177,C11orf91
chr11,335747,336246,Intergenic,MER39|LTR|ERV1,-15136,NM_021034,10410,ENSG00000142089,IFITM3
chr11,128532477,128532976,"intron (NM_001143820, intron 3 of 9)","intron (NM_001143820, intron 3 of 9)",6584,NR_120581,101929517,ENSG00000254588,ETS1-AS1
chr11,72040755,72041254,"intron (NR_104476, intron 2 of 24)","intron (NR_104476, intron 2 of 24)",26713,NR_104178,100128494,ENSG00000251143,LOC100128494
chr11,73494172,73494671,"intron (NM_001286051, intron 1 of 5)","intron (NM_001286051, intron 1 of 5)",103691,NM_001286051,23201,ENSG00000054965,FAM168A
chr11,126359436,126359935,"intron (NM_001348396, intron 2 of 11)","intron (NM_001348396, intron 2 of 11)",3673,NM_001348399,6484,ENSG00000110080,ST3GAL4
chr11,45209763,45210262,"intron (NM_001256695, intron 5 of 7)",L2a|LINE|L2,62669,NM_001256696,56981,ENSG00000019485,PRDM11
chr11,62061764,62062263,Intergenic,Intergenic,-61998,NM_020238,3619,ENSG00000149503,INCENP
chr11,85686041,85686540,promoter-TSS (NM_152723),promoter-TSS (NM_152723),-95,NM_152723,220388,ENSG00000179071,CCDC89
chr11,125457793,125458292,"intron (NM_005103, intron 5 of 9)","intron (NM_005103, intron 5 of 9)",-37172,NM_001301851,403312,,LOC403312
chr11,61834621,61835120,"intron (NM_004265, intron 1 of 11)","intron (NM_004265, intron 1 of 11)",6570,NM_004265,9415,ENSG00000134824,FADS2
chr11,73855899,73856398,"intron (NR_134661, intron 4 of 5)","intron (NR_134661, intron 4 of 5)",-20551,NM_001267806,80227,ENSG00000175575,PAAF1
chr11,120391268,120391767,"intron (NM_001301084, intron 1 of 40)","intron (NM_001301084, intron 1 of 40)",6190,NM_001301084,23365,ENSG00000196914,ARHGEF12
chr11,115699720,115700219,Intergenic,Intergenic,34793,NR_135066,101928985,,LOC101928985
chr11,11148022,11148521,Intergenic,Intergenic,204979,NM_001256686,283106,ENSG00000254598,CSNK2A3
chr11,73321740,73322239,"intron (NM_014786, intron 1 of 20)","intron (NM_014786, intron 1 of 20)",-12628,NR_147696,100287837,ENSG00000257038,LOC100287837
chr11,69443215,69443714,Intergenic,CpG,17809,NM_001319657,102724265,,LOC102724265
chr11,37504156,37504655,Intergenic,Intergenic,-434196,NR_135110,105376633,ENSG00000254516,LINC02760
chr11,1460360,1460859,"exon (NM_001256630, exon 20 of 20)","exon (NM_001256630, exon 20 of 20)",20277,NM_053005,81532,ENSG00000182208,MOB2
chr11,71448233,71448732,promoter-TSS (NM_001163817),promoter-TSS (NM_001163817),-51,NM_001360,1717,ENSG00000172893,DHCR7
chr11,114060477,114060976,"intron (NM_001018011, intron 1 of 6)",CpG,219,NM_001018011,7704,ENSG00000109906,ZBTB16
chr11,19719859,19720358,"intron (NM_182964, intron 1 of 37)","intron (NM_182964, intron 1 of 37)",-5436,NR_015384,100126784,,LOC100126784
chr12,104668920,104669419,"intron (NM_018413, intron 2 of 2)","intron (NM_018413, intron 2 of 2)",77536,NR_037487,100500843,ENSG00000264295,MIR3922
chr12,65948475,65948974,"intron (NM_001300918, intron 3 of 4)","intron (NM_001300918, intron 3 of 4)",-66399,NR_158985,100129940,ENSG00000197301,HMGA2-AS1
chr12,108638241,108638740,Intergenic,Intergenic,2680,NR_039717,100616240,ENSG00000284388,MIR4496
chr12,116277647,116278146,promoter-TSS (NM_015335),promoter-TSS (NM_015335),-710,NM_015335,23389,ENSG00000123066,MED13L
chr12,109725739,109726238,"intron (NM_032829, intron 1 of 2)","intron (NM_032829, intron 1 of 2)",12163,NM_032829,84915,ENSG00000139438,FAM222A
chr12,125245870,125246369,"intron (NM_001366854, intron 1 of 8)","intron (NM_001366854, intron 1 of 8)",59733,NM_001366854,114795,ENSG00000139364,TMEM132B
chr12,50661561,50662060,"intron (NM_173602, intron 4 of 37)","intron (NM_173602, intron 4 of 37)",-102291,NM_005171,466,ENSG00000123268,ATF1
chr12,13196316,13196815,promoter-TSS (NM_001423),promoter-TSS (NM_001423),-161,NM_001423,2012,ENSG00000134531,EMP1
chr12,124914443,124914942,promoter-TSS (NR_049820),promoter-TSS (NR_049820),-42,NM_021009,7316,ENSG00000150991,UBC
chr12,123712115,123712614,promoter-TSS (NM_012463),promoter-TSS (NM_012463),11,NM_012463,23545,ENSG00000185344,ATP6V0A2
chr12,56041663,56042162,promoter-TSS (NM_001029),promoter-TSS (NM_001029),-6,NM_001029,6231,ENSG00000197728,RPS26
chr12,3336517,3337016,"intron (NR_148995, intron 1 of 11)","intron (NR_148995, intron 1 of 11)",29356,NR_148995,100128253,,LOC100128253
chr12,6944295,6944794,TTS (NR_023317),TTS (NR_023317),522,NM_138425,113246,ENSG00000111678,C12orf57
chr12,6493244,6493743,promoter-TSS (NM_016497),promoter-TSS (NM_016497),-231,NM_016497,51258,ENSG00000111639,MRPL51
chr12,32106517,32107016,promoter-TSS (NM_001714),promoter-TSS (NM_001714),-41,NM_001363603,636,ENSG00000151746,BICD1
chr12,70535917,70536416,"intron (NM_001109754, intron 28 of 33)","intron (NM_001109754, intron 28 of 33)",73858,NM_002837,5787,ENSG00000127329,PTPRB
chr12,101830760,101831259,promoter-TSS (NM_024312),promoter-TSS (NM_024312),-50,NM_024312,79158,ENSG00000111670,GNPTAB
chr12,54379296,54379795,"intron (NM_015481, intron 1 of 6)","intron (NM_015481, intron 1 of 6)",5188,NM_015481,25946,ENSG00000161642,ZNF385A
chr12,71839361,71839860,promoter-TSS (NM_001146213),promoter-TSS (NM_001146213),-149,NM_001146213,64786,ENSG00000121749,TBC1D15
chr12,108826406,108826905,"intron (NM_018984, intron 2 of 14)","intron (NM_018984, intron 2 of 14)",896,NM_001161331,54434,ENSG00000084112,SSH1
chr12,93818942,93819441,"intron (NM_001320100, intron 2 of 2)","intron (NM_001320100, intron 2 of 2)",-81368,NR_110093,101928731,ENSG00000258274,LOC101928731
chr12,47812746,47813245,"intron (NM_015401, intron 1 of 25)",CpG,6908,NR_160435,51564,ENSG00000061273,HDAC7
chr12,104671709,104672208,"intron (NM_018413, intron 2 of 2)","intron (NM_018413, intron 2 of 2)",80325,NR_037487,100500843,ENSG00000264295,MIR3922
chr12,9115699,9116198,"5' UTR (NM_001347424, exon 1 of 36)","5' UTR (NM_001347424, exon 1 of 36)",281,NM_001347425,2,ENSG00000175899,A2M
chr12,1594639,1595138,promoter-TSS (NM_152441),promoter-TSS (NM_152441),-307,NM_152441,144699,ENSG00000171823,FBXL14
chr12,130254476,130254975,Intergenic,Intergenic,-83162,NM_001190971,9271,ENSG00000125207,PIWIL1
chr12,6229697,6230196,"intron (NM_001769, intron 2 of 7)","intron (NM_001769, intron 2 of 7)",29546,NM_001769,928,ENSG00000010278,CD9
chr12,23771184,23771683,"intron (NM_152989, intron 6 of 17)","intron (NM_152989, intron 6 of 17)",178237,NM_006940,6660,ENSG00000134532,SOX5
chr12,93814081,93814580,"intron (NM_001320100, intron 2 of 2)","intron (NM_001320100, intron 2 of 2)",-76507,NR_110093,101928731,ENSG00000258274,LOC101928731
chr12,64759148,64759647,promoter-TSS (NM_002076),promoter-TSS (NM_002076),9,NM_002076,2799,ENSG00000135677,GNS
chr12,68332232,68332731,promoter-TSS (NM_020128),promoter-TSS (NM_020128),-67,NM_001354974,56890,ENSG00000111554,MDM1
chr12,26833010,26833509,promoter-TSS (NM_002223),promoter-TSS (NM_002223),-65,NM_002223,3709,ENSG00000123104,ITPR2
chr12,124764860,124765359,Intergenic,Intergenic,74562,NM_001367982,949,ENSG00000073060,SCARB1
chr12,108802104,108802603,"exon (NM_001161331, exon 10 of 13)","exon (NM_001161331, exon 10 of 13)",25198,NM_001161331,54434,ENSG00000084112,SSH1
chr12,100200506,100201005,promoter-TSS (NR_048568),promoter-TSS (NR_048568),-60,NR_048569,64431,ENSG00000075089,ACTR6
chr12,50247085,50247584,"intron (NM_016357, intron 2 of 10)",MLT1G1|LTR|ERVL-MaLR,-13122,NR_031625,100302220,ENSG00000221604,MIR1293
chr12,130983552,130984051,"intron (NM_198827, intron 5 of 24)","intron (NM_198827, intron 5 of 24)",10175,NR_131950,105755954,,ADGRD1-AS1
chr12,47963269,47963768,promoter-TSS (NM_001143841),promoter-TSS (NM_001143841),-29,NM_001143843,79022,ENSG00000134291,TMEM106C
chr12,104137925,104138424,promoter-TSS (NM_006166),promoter-TSS (NM_006166),36,NM_006166,4801,ENSG00000120837,NFYB
chr12,53451732,53452231,promoter-TSS (NM_001128911),promoter-TSS (NM_001128911),-121,NM_001128912,5094,ENSG00000197111,PCBP2
chr12,68610615,68611114,promoter-TSS (NM_001251917),promoter-TSS (NM_001251917),-35,NM_001251917,5908,ENSG00000127314,RAP1B
chr13,110023975,110024474,Intergenic,Intergenic,-29061,NR_126387,104355146,ENSG00000231428,LINC00396
chr13,33271048,33271547,"intron (NM_001243476, intron 5 of 17)","intron (NM_001243476, intron 5 of 17)",-6257,NR_046693,100874241,ENSG00000236581,STARD13-AS
chr13,24148652,24149151,"intron (NM_001286792, intron 3 of 14)","intron (NM_001286792, intron 3 of 14)",-11819,NM_001166271,221178,ENSG00000182957,SPATA13
chr13,57629787,57630286,Intergenic,CpG,-1708,NM_001040429,27253,ENSG00000118946,PCDH17
chr13,19860891,19861390,"intron (NM_001142684, intron 2 of 7)",FRAM|SINE|Alu,2496,NM_001039649,9205,ENSG00000132950,ZMYM5
chr13,106570309,106570808,Intergenic,Intergenic,-2421,NM_018011,55082,ENSG00000134884,ARGLU1
chr13,33229587,33230086,"intron (NM_001243476, intron 5 of 17)","intron (NM_001243476, intron 5 of 17)",-23786,NM_001243474,90627,ENSG00000133121,STARD13
chr13,39602859,39603358,promoter-TSS (NM_005780),promoter-TSS (NM_005780),85,NM_005780,10186,ENSG00000183722,LHFPL6
chr13,40666367,40666866,promoter-TSS (NM_002015),promoter-TSS (NM_002015),25,NM_002015,2308,ENSG00000150907,FOXO1
chr13,48749741,48750240,Intergenic,Intergenic,96061,NM_001308467,57105,ENSG00000152207,CYSLTR2
chr13,49299108,49299607,Intergenic,Intergenic,51432,NR_036439,81602,ENSG00000102543,CDADC1
chr13,110870142,110870641,promoter-TSS (NR_027701),promoter-TSS (NR_027701),-83,NR_027701,283487,ENSG00000255874,LINC00346
chr13,23889130,23889629,promoter-TSS (NM_001135816),promoter-TSS (NM_001135816),21,NM_005932,4285,ENSG00000027001,MIPEP
chr13,40193185,40193684,Intergenic,Intergenic,11625,NR_046870,100874127,ENSG00000230710,LINC00332
chr13,114036079,114036578,"intron (NM_001320821, intron 6 of 25).2","intron (NM_001320821, intron 6 of 25).2",41627,NM_001320822,22821,ENSG00000185989,RASA3
chr13,41132394,41132893,promoter-TSS (NR_120423),promoter-TSS (NR_120423),159,NM_152903,89890,ENSG00000165572,KBTBD6
chr14,20434568,20435067,"intron (NM_001109997, intron 1 of 3)",MamSINE1|SINE|tRNA-RTE,1013,NM_001109997,123103,ENSG00000185271,KLHL33
