"","gs","gene","Gene.stable.ID","Gene.stable.ID.1","HGNC.symbol","mouse"
"160","Calca+Bmpr1b","SUSD4","ENSMUSG00000038576","ENSG00000143502","SUSD4","Susd4"
"161","Calca+Bmpr1b","CYB5R1","ENSMUSG00000026456","ENSG00000159348","CYB5R1","Cyb5r1"
"162","Calca+Bmpr1b","CIB2","ENSMUSG00000037493","ENSG00000136425","CIB2","Cib2"
"163","Calca+Bmpr1b","CREB5","ENSMUSG00000053007","ENSG00000146592","CREB5","Creb5"
"164","Calca+Bmpr1b","CORO6","ENSMUSG00000020836","ENSG00000167549","CORO6","Coro6"
"165","Calca+Bmpr1b","HCN2","ENSMUSG00000020331","ENSG00000099822","HCN2","Hcn2"
"168","Calca+Bmpr1b","NRN1","ENSMUSG00000039114","ENSG00000124785","NRN1","Nrn1"
"169","Calca+Bmpr1b","CHP2","ENSMUSG00000030865","ENSG00000166869","CHP2","Chp2"
"170","Calca+Bmpr1b","ENDOD1","ENSMUSG00000037419","ENSG00000149218","ENDOD1","Endod1"
"171","Calca+Bmpr1b","LY6H","ENSMUSG00000022577","ENSG00000176956","LY6H","Ly6h"
"172","Calca+Bmpr1b","NCDN","ENSMUSG00000028833","ENSG00000020129","NCDN","Ncdn"
"173","Calca+Bmpr1b","P2RX3","ENSMUSG00000027071","ENSG00000109991","P2RX3","P2rx3"
"174","Calca+Bmpr1b","TAFA1","ENSMUSG00000059187","ENSG00000183662","TAFA1","Tafa1"
"175","Calca+Bmpr1b","MPZL1","ENSMUSG00000026566","ENSG00000197965","MPZL1","Mpzl1"
"176","Calca+Bmpr1b","G3BP2","ENSMUSG00000029405","ENSG00000138757","G3BP2","G3bp2"
"177","Calca+Bmpr1b","BSPRY","ENSMUSG00000028392","ENSG00000119411","BSPRY","Bspry"
"178","Calca+Bmpr1b","RND2","ENSMUSG00000001313","ENSG00000108830","RND2","Rnd2"
"179","Calca+Bmpr1b","SPTBN2","ENSMUSG00000067889","ENSG00000173898","SPTBN2","Sptbn2"
"180","Calca+Bmpr1b","COLGALT2","ENSMUSG00000032649","ENSG00000198756","COLGALT2","Colgalt2"
"181","Calca+Bmpr1b","IGFBP7","ENSMUSG00000036256","ENSG00000163453","IGFBP7","Igfbp7"
"182","Calca+Bmpr1b","NFIA","ENSMUSG00000028565","ENSG00000162599","NFIA","Nfia"
"183","Calca+Bmpr1b","MAP2K2","ENSMUSG00000035027","ENSG00000126934","MAP2K2","Map2k2"
"184","Calca+Bmpr1b","RFTN1","ENSMUSG00000039316","ENSG00000131378","RFTN1","Rftn1"
"185","Calca+Bmpr1b","GPR83","ENSMUSG00000031932","ENSG00000123901","GPR83","Gpr83"
"186","Calca+Bmpr1b","MOAP1","ENSMUSG00000096458","ENSG00000165943","MOAP1","Moap1"
"187","Calca+Bmpr1b","TMC5","ENSMUSG00000030650","ENSG00000103534","TMC5","Tmc5"
"188","Calca+Bmpr1b","COL17A1","ENSMUSG00000025064","ENSG00000065618","COL17A1","Col17a1"
"189","Calca+Bmpr1b","UBB","ENSMUSG00000019505","ENSG00000170315","UBB","Ubb"
"190","Calca+Bmpr1b","ELFN2","ENSMUSG00000043460","ENSG00000166897","ELFN2","Elfn2"
"193","Calca+Bmpr1b","NECTIN2","ENSMUSG00000062300","ENSG00000130202","NECTIN2","Nectin2"
"194","Calca+Bmpr1b","NDUFA4","ENSMUSG00000029632","ENSG00000189043","NDUFA4","Ndufa4"
"195","Calca+Bmpr1b","KNCN","ENSMUSG00000073774","ENSG00000162456","KNCN","Kncn"
"196","Calca+Bmpr1b","LPIN2","ENSMUSG00000024052","ENSG00000101577","LPIN2","Lpin2"
"197","Calca+Bmpr1b","ALDOC","ENSMUSG00000017390","ENSG00000109107","ALDOC","Aldoc"
"198","Calca+Bmpr1b","C2orf88","ENSMUSG00000043629","ENSG00000187699","C2orf88","1700019D03Rik"
"199","Calca+Bmpr1b","GRID1","ENSMUSG00000041078","ENSG00000182771","GRID1","Grid1"
"200","Calca+Bmpr1b","IL12A","ENSMUSG00000027776","ENSG00000168811","IL12A","Il12a"
"201","Calca+Bmpr1b","PEX5L","ENSMUSG00000027674","ENSG00000114757","PEX5L","Pex5l"
"202","Calca+Bmpr1b","CCER2","ENSMUSG00000096257","ENSG00000262484","CCER2","Ccer2"
"203","Calca+Bmpr1b","SYN2","ENSMUSG00000009394","ENSG00000157152","SYN2","Syn2"
"204","Calca+Bmpr1b","KLKB1","ENSMUSG00000109764","ENSG00000164344","KLKB1","Klkb1"
"205","Calca+Bmpr1b","CSDC2","ENSMUSG00000042109","ENSG00000172346","CSDC2","Csdc2"
"206","Calca+Bmpr1b","EGFL7","ENSMUSG00000026921","ENSG00000172889","EGFL7","Egfl7"
"207","Calca+Bmpr1b","PHYHIP","ENSMUSG00000003469","ENSG00000168490","PHYHIP","Phyhip"
"208","Calca+Bmpr1b","EHD3","ENSMUSG00000024065","ENSG00000013016","EHD3","Ehd3"
"211","Calca+Bmpr1b","INPP5J","ENSMUSG00000034570","ENSG00000185133","INPP5J","Inpp5j"
"212","Calca+Bmpr1b","ELMO1","ENSMUSG00000041112","ENSG00000155849","ELMO1","Elmo1"
"213","Calca+Bmpr1b","CNTN5","ENSMUSG00000039488","ENSG00000149972","CNTN5","Cntn5"
"214","Calca+Bmpr1b","NDUFS5","ENSMUSG00000028648","ENSG00000168653","NDUFS5","Ndufs5"
"215","Calca+Bmpr1b","STK32C","ENSMUSG00000015981","ENSG00000165752","STK32C","Stk32c"
"216","Calca+Bmpr1b","TOGARAM2","ENSMUSG00000045761","ENSG00000189350","TOGARAM2","Togaram2"
"217","Calca+Bmpr1b","PTPRO","ENSMUSG00000030223","ENSG00000151490","PTPRO","Ptpro"
"220","Calca+Bmpr1b","INSRR","ENSMUSG00000005640","ENSG00000027644","INSRR","Insrr"
"221","Calca+Bmpr1b","GSTK1","ENSMUSG00000029864","ENSG00000197448","GSTK1","Gstk1"
"222","Calca+Bmpr1b","CDKN3","ENSMUSG00000037628","ENSG00000100526","CDKN3","Cdkn3"
"223","Calca+Bmpr1b","KCNMB4","ENSMUSG00000054934","ENSG00000135643","KCNMB4","Kcnmb4"
"224","Calca+Bmpr1b","KLHL5","ENSMUSG00000054920","ENSG00000109790","KLHL5","Klhl5"
"225","Calca+Bmpr1b","MLXIPL","ENSMUSG00000005373","ENSG00000009950","MLXIPL","Mlxipl"
"226","Calca+Bmpr1b","BLM","ENSMUSG00000030528","ENSG00000197299","BLM","Blm"
"227","Calca+Bmpr1b","CRYGN","ENSMUSG00000038135","ENSG00000127377","CRYGN","Crygn"
"228","Calca+Bmpr1b","TMTC4","ENSMUSG00000041594","ENSG00000125247","TMTC4","Tmtc4"
"229","Calca+Bmpr1b","OCIAD2","ENSMUSG00000029153","ENSG00000145247","OCIAD2","Ociad2"
"230","Calca+Bmpr1b","PCDH18","ENSMUSG00000037892","ENSG00000189184","PCDH18","Pcdh18"
"231","Calca+Bmpr1b","TCEAL7","ENSMUSG00000079428","ENSG00000182916","TCEAL7","Tceal7"
"232","Calca+Bmpr1b","ECE1","ENSMUSG00000057530","ENSG00000117298","ECE1","Ece1"
"234","Calca+Bmpr1b","YAF2","ENSMUSG00000022634","ENSG00000015153","YAF2","Yaf2"
"235","Calca+Bmpr1b","ACSL5","ENSMUSG00000024981","ENSG00000197142","ACSL5","Acsl5"
"236","Calca+Bmpr1b","FAM13A","ENSMUSG00000037709","ENSG00000138640","FAM13A","Fam13a"
"237","Calca+Bmpr1b","PLCB1","ENSMUSG00000051177","ENSG00000182621","PLCB1","Plcb1"
"238","Calca+Bmpr1b","SHC3","ENSMUSG00000021448","ENSG00000148082","SHC3","Shc3"
"239","Calca+Bmpr1b","SLC25A4","ENSMUSG00000031633","ENSG00000151729","SLC25A4","Slc25a4"
"240","Calca+Bmpr1b","PTGER4","ENSMUSG00000039942","ENSG00000171522","PTGER4","Ptger4"
"241","Calca+Bmpr1b","MSC","ENSMUSG00000025930","ENSG00000178860","MSC","Msc"
"242","Calca+Bmpr1b","PCBD1","ENSMUSG00000020098","ENSG00000166228","PCBD1","Pcbd1"
"243","Calca+Bmpr1b","CDC40","ENSMUSG00000038446","ENSG00000168438","CDC40","Cdc40"
"244","Calca+Bmpr1b","LYRM4","ENSMUSG00000046573","ENSG00000214113","LYRM4","Lyrm4"
"245","Calca+Bmpr1b","PIP4K2A","ENSMUSG00000026737","ENSG00000150867","PIP4K2A","Pip4k2a"
"246","Calca+Bmpr1b","SGK1","ENSMUSG00000019970","ENSG00000118515","SGK1","Sgk1"
"247","Calca+Bmpr1b","TEX26","ENSMUSG00000029660","ENSG00000175664","TEX26","Tex26"
"248","Calca+Bmpr1b","WASHC5","ENSMUSG00000022350","ENSG00000164961","WASHC5","Washc5"
"249","Calca+Bmpr1b","IFNGR1","ENSMUSG00000020009","ENSG00000027697","IFNGR1","Ifngr1"
"250","Calca+Bmpr1b","S100A10","ENSMUSG00000041959","ENSG00000197747","S100A10","S100a10"
"252","Calca+Bmpr1b","EFR3B","ENSMUSG00000020658","ENSG00000084710","EFR3B","Efr3b"
"253","Calca+Bmpr1b","CHRNB3","ENSMUSG00000031492","ENSG00000147432","CHRNB3","Chrnb3"
"254","Calca+Bmpr1b","TNFRSF25","ENSMUSG00000024793","ENSG00000215788","TNFRSF25","Tnfrsf25"
"255","Calca+Bmpr1b","PITHD1","ENSMUSG00000028669","ENSG00000057757","PITHD1","Pithd1"
"256","Calca+Bmpr1b","JPT1","ENSMUSG00000020737","ENSG00000189159","JPT1","Jpt1"
"257","Calca+Bmpr1b","GLRX","ENSMUSG00000021591","ENSG00000173221","GLRX","Glrx"
"258","Calca+Bmpr1b","PSMD8","ENSMUSG00000030591","ENSG00000099341","PSMD8","Psmd8"
"259","Calca+Bmpr1b","WASF1","ENSMUSG00000019831","ENSG00000112290","WASF1","Wasf1"
"260","Calca+Bmpr1b","THSD7B","ENSMUSG00000042581","ENSG00000144229","THSD7B","Thsd7b"
"262","Calca+Bmpr1b","SORBS1","ENSMUSG00000025006","ENSG00000095637","SORBS1","Sorbs1"
"263","Calca+Bmpr1b","ADRA2C","ENSMUSG00000045318","ENSG00000184160","ADRA2C","Adra2c"
"264","Calca+Bmpr1b","NT5DC1","ENSMUSG00000039480","ENSG00000178425","NT5DC1","Nt5dc1"
"265","Calca+Bmpr1b","VEGFC","ENSMUSG00000031520","ENSG00000150630","VEGFC","Vegfc"
"266","Calca+Bmpr1b","TLCD4","ENSMUSG00000028132","ENSG00000152078","TLCD4","Tlcd4"
"267","Calca+Bmpr1b","TLCD4-RWDD3","ENSMUSG00000028132","ENSG00000271092","TLCD4-RWDD3","Tlcd4"
"268","Calca+Bmpr1b","CARTPT","ENSMUSG00000021647","ENSG00000164326","CARTPT","Cartpt"
"269","Calca+Bmpr1b","PDK3","ENSMUSG00000035232","ENSG00000067992","PDK3","Pdk3"
"271","Calca+Bmpr1b","LRRC4B","ENSMUSG00000047085","ENSG00000131409","LRRC4B","Lrrc4b"
"272","Calca+Bmpr1b","CXXC5","ENSMUSG00000046668","ENSG00000171604","CXXC5","Cxxc5"
"273","Calca+Bmpr1b","SGCZ","ENSMUSG00000039539","ENSG00000185053","SGCZ","Sgcz"
"274","Calca+Bmpr1b","VGF","ENSMUSG00000037428","ENSG00000128564","VGF","Vgf"
"275","Calca+Bmpr1b","SLC9A9","ENSMUSG00000031129","ENSG00000181804","SLC9A9","Slc9a9"
"276","Calca+Bmpr1b","HSD17B12","ENSMUSG00000027195","ENSG00000149084","HSD17B12","Hsd17b12"
"277","Calca+Bmpr1b","DCTN2","ENSMUSG00000025410","ENSG00000175203","DCTN2","Dctn2"
"279","Calca+Bmpr1b","CYSTM1","ENSMUSG00000046727","ENSG00000120306","CYSTM1","Cystm1"
