HGNC symbol,HGNC name
MC4R,melanocortin 4 receptor
MC5R,melanocortin 5 receptor
MTNR1A,melatonin receptor 1A
MTNR1B,melatonin receptor 1B
GRM1,glutamate metabotropic receptor 1
GRM2,glutamate metabotropic receptor 2
GRM3,glutamate metabotropic receptor 3
GRM4,glutamate metabotropic receptor 4
GRM5,glutamate metabotropic receptor 5
GRM6,glutamate metabotropic receptor 6
GRM7,glutamate metabotropic receptor 7
GRM8,glutamate metabotropic receptor 8
MLNR,motilin receptor
NMUR1,neuromedin U receptor 1
NMUR2,neuromedin U receptor 2
NPFFR1,neuropeptide FF receptor 1
NPFFR2,neuropeptide FF receptor 2
NPSR1,neuropeptide S receptor 1
NPBWR1,neuropeptides B and W receptor 1
NPBWR2,neuropeptides B and W receptor 2
NPY1R,neuropeptide Y receptor Y1
NPY2R,neuropeptide Y receptor Y2
NPY4R,neuropeptide Y receptor Y4
NPY5R,neuropeptide Y receptor Y5
NPY6R,neuropeptide Y receptor Y6 (pseudogene)
NTSR1,neurotensin receptor 1
NTSR2,neurotensin receptor 2
OPRD1,opioid receptor delta 1
OPRK1,opioid receptor kappa 1
OPRM1,opioid receptor mu 1
OPRL1,opioid related nociceptin receptor 1
OPN1LW,"opsin 1, long wave sensitive"
OPN1MW,"opsin 1, medium wave sensitive"
OPN1SW,"opsin 1, short wave sensitive"
RHO,rhodopsin
OPN3,opsin 3
OPN4,opsin 4
OPN5,opsin 5
HCRTR1,hypocretin receptor 1
HCRTR2,hypocretin receptor 2
GPR107,G protein-coupled receptor 107
GPR137,G protein-coupled receptor 137
TPRA1,transmembrane protein adipocyte associated 1
GPR143,G protein-coupled receptor 143
GPR157,G protein-coupled receptor 157
OXGR1,oxoglutarate receptor 1
P2RY1,purinergic receptor P2Y1
P2RY2,purinergic receptor P2Y2
P2RY4,pyrimidinergic receptor P2Y4
P2RY6,pyrimidinergic receptor P2Y6
P2RY11,purinergic receptor P2Y11
P2RY12,purinergic receptor P2Y12
P2RY13,purinergic receptor P2Y13
P2RY14,purinergic receptor P2Y14
PTH1R,parathyroid hormone 1 receptor
PTH2R,parathyroid hormone 2 receptor
PTAFR,platelet activating factor receptor
PROKR1,prokineticin receptor 1
PROKR2,prokineticin receptor 2
PRLHR,prolactin releasing hormone receptor
PTGDR,prostaglandin D2 receptor
PTGDR2,prostaglandin D2 receptor 2
PTGER1,prostaglandin E receptor 1
PTGER2,prostaglandin E receptor 2
PTGER3,prostaglandin E receptor 3
PTGER4,prostaglandin E receptor 4
PTGFR,prostaglandin F receptor
PTGIR,prostaglandin I2 receptor
TBXA2R,thromboxane A2 receptor
F2R,coagulation factor II thrombin receptor
F2RL1,F2R like trypsin receptor 1
F2RL2,coagulation factor II thrombin receptor like 2
F2RL3,F2R like thrombin or trypsin receptor 3
QRFPR,pyroglutamylated RFamide peptide receptor
RXFP1,relaxin family peptide receptor 1
RXFP2,relaxin family peptide receptor 2
RXFP3,relaxin family peptide receptor 3
RXFP4,relaxin family peptide/INSL5 receptor 4
SSTR1,somatostatin receptor 1
SSTR2,somatostatin receptor 2
SSTR3,somatostatin receptor 3
SSTR4,somatostatin receptor 4
SSTR5,somatostatin receptor 5
SUCNR1,succinate receptor 1
TACR1,tachykinin receptor 1
TACR2,tachykinin receptor 2
TACR3,tachykinin receptor 3
TAS1R1,taste 1 receptor member 1
TAS1R2,taste 1 receptor member 2
TAS1R3,taste 1 receptor member 3
TAS2R1,taste 2 receptor member 1
TAS2R3,taste 2 receptor member 3
TAS2R4,taste 2 receptor member 4
TAS2R5,taste 2 receptor member 5
TAS2R7,taste 2 receptor member 7
TAS2R8,taste 2 receptor member 8
TAS2R9,taste 2 receptor member 9
TAS2R10,taste 2 receptor member 10
TAS2R13,taste 2 receptor member 13
TAS2R14,taste 2 receptor member 14
TAS2R16,taste 2 receptor member 16
TAS2R19,taste 2 receptor member 19
TAS2R20,taste 2 receptor member 20
TAS2R30,taste 2 receptor member 30
TAS2R31,taste 2 receptor member 31
TAS2R38,taste 2 receptor member 38
TAS2R39,taste 2 receptor member 39
TAS2R40,taste 2 receptor member 40
TAS2R41,taste 2 receptor member 41
TAS2R42,taste 2 receptor member 42
TAS2R43,taste 2 receptor member 43
TAS2R45,taste 2 receptor member 45
TAS2R46,taste 2 receptor member 46
TAS2R50,taste 2 receptor member 50
TAS2R60,taste 2 receptor member 60
TRHR,thyrotropin releasing hormone receptor
,
TAAR1,trace amine associated receptor 1
UTS2R,urotensin 2 receptor
AVPR1A,arginine vasopressin receptor 1A
AVPR1B,arginine vasopressin receptor 1B
AVPR2,arginine vasopressin receptor 2
OXTR,oxytocin receptor
ADCYAP1R1,ADCYAP receptor type I
VIPR1,vasoactive intestinal peptide receptor 1
VIPR2,vasoactive intestinal peptide receptor 2
NR0B1,nuclear receptor subfamily 0 group B member 1
NR0B2,nuclear receptor subfamily 0 group B member 2
THRA,thyroid hormone receptor alpha
THRB,thyroid hormone receptor beta
RARA,retinoic acid receptor alpha
RARB,retinoic acid receptor beta
RARG,retinoic acid receptor gamma
PPARA,peroxisome proliferator activated receptor alpha
PPARD,peroxisome proliferator activated receptor delta
PPARG,peroxisome proliferator activated receptor gamma
NR1D1,nuclear receptor subfamily 1 group D member 1
NR1D2,nuclear receptor subfamily 1 group D member 2
RORA,RAR related orphan receptor A
RORB,RAR related orphan receptor B
RORC,RAR related orphan receptor C
NR1H4,nuclear receptor subfamily 1 group H member 4
NR1H5P,"nuclear receptor subfamily 1 group H member 5, pseudogene"
NR1H3,nuclear receptor subfamily 1 group H member 3
NR1H2,nuclear receptor subfamily 1 group H member 2
VDR,vitamin D receptor
NR1I2,nuclear receptor subfamily 1 group I member 2
NR1I3,nuclear receptor subfamily 1 group I member 3
HNF4A,hepatocyte nuclear factor 4 alpha
HNF4G,hepatocyte nuclear factor 4 gamma
RXRA,retinoid X receptor alpha
RXRB,retinoid X receptor beta
RXRG,retinoid X receptor gamma
NR2C1,nuclear receptor subfamily 2 group C member 1
NR2C2,nuclear receptor subfamily 2 group C member 2
NR2E1,nuclear receptor subfamily 2 group E member 1
NR2E3,nuclear receptor subfamily 2 group E member 3
NR2F1,nuclear receptor subfamily 2 group F member 1
NR2F2,nuclear receptor subfamily 2 group F member 2
NR2F6,nuclear receptor subfamily 2 group F member 6
ESR1,estrogen receptor 1
ESR2,estrogen receptor 2
ESRRA,estrogen related receptor alpha
ESRRB,estrogen related receptor beta
ESRRG,estrogen related receptor gamma
AR,androgen receptor
NR3C1,nuclear receptor subfamily 3 group C member 1
NR3C2,nuclear receptor subfamily 3 group C member 2
PGR,progesterone receptor
NR4A1,nuclear receptor subfamily 4 group A member 1
NR4A2,nuclear receptor subfamily 4 group A member 2
NR4A3,nuclear receptor subfamily 4 group A member 3
NR5A1,nuclear receptor subfamily 5 group A member 1
NR5A2,nuclear receptor subfamily 5 group A member 2
NR6A1,nuclear receptor subfamily 6 group A member 1
KCNMA1,potassium calcium-activated channel subfamily M alpha 1
KCNN1,potassium calcium-activated channel subfamily N member 1
KCNN2,potassium calcium-activated channel subfamily N member 2
KCNN3,potassium calcium-activated channel subfamily N member 3
KCNN4,potassium calcium-activated channel subfamily N member 4
KCNT1,potassium sodium-activated channel subfamily T member 1
KCNT2,potassium sodium-activated channel subfamily T member 2
KCNU1,potassium calcium-activated channel subfamily U member 1
CATSPER1,cation channel sperm associated 1
CATSPER2,cation channel sperm associated 2
CATSPER3,cation channel sperm associated 3
CATSPER4,cation channel sperm associated 4
TPCN1,two pore segment channel 1
TPCN2,two pore segment channel 2
CNGA1,cyclic nucleotide gated channel subunit alpha 1
CNGA2,cyclic nucleotide gated channel subunit alpha 2
CNGA3,cyclic nucleotide gated channel subunit alpha 3
CNGA4,cyclic nucleotide gated channel subunit alpha 4
CNGB1,cyclic nucleotide gated channel subunit beta 1
CNGB3,cyclic nucleotide gated channel subunit beta 3
HCN1,hyperpolarization activated cyclic nucleotide gated potassium channel 1
HCN2,hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2
HCN3,hyperpolarization activated cyclic nucleotide gated potassium channel 3
HCN4,hyperpolarization activated cyclic nucleotide gated potassium channel 4
KCNJ1,potassium inwardly rectifying channel subfamily J member 1
KCNJ2,potassium inwardly rectifying channel subfamily J member 2
KCNJ12,potassium inwardly rectifying channel subfamily J member 12
KCNJ4,potassium inwardly rectifying channel subfamily J member 4
KCNJ14,potassium inwardly rectifying channel subfamily J member 14
KCNJ3,potassium inwardly rectifying channel subfamily J member 3
KCNJ6,potassium inwardly rectifying channel subfamily J member 6
KCNJ9,potassium inwardly rectifying channel subfamily J member 9
KCNJ5,potassium inwardly rectifying channel subfamily J member 5
KCNJ10,potassium inwardly rectifying channel subfamily J member 10
KCNJ15,potassium inwardly rectifying channel subfamily J member 15
KCNJ16,potassium inwardly rectifying channel subfamily J member 16
KCNJ8,potassium inwardly rectifying channel subfamily J member 8
KCNJ11,potassium inwardly rectifying channel subfamily J member 11
KCNJ13,potassium inwardly rectifying channel subfamily J member 13
RYR1,ryanodine receptor 1
RYR2,ryanodine receptor 2
RYR3,ryanodine receptor 3
TRPA1,transient receptor potential cation channel subfamily A member 1
TRPC1,transient receptor potential cation channel subfamily C member 1
TRPC2,transient receptor potential cation channel subfamily C member 2 (pseudogene)
TRPC3,transient receptor potential cation channel subfamily C member 3
TRPC4,transient receptor potential cation channel subfamily C member 4
TRPC5,transient receptor potential cation channel subfamily C member 5
TRPC6,transient receptor potential cation channel subfamily C member 6
TRPC7,transient receptor potential cation channel subfamily C member 7
TRPM1,transient receptor potential cation channel subfamily M member 1
TRPM2,transient receptor potential cation channel subfamily M member 2
TRPM3,transient receptor potential cation channel subfamily M member 3
TRPM4,transient receptor potential cation channel subfamily M member 4
TRPM5,transient receptor potential cation channel subfamily M member 5
TRPM6,transient receptor potential cation channel subfamily M member 6
TRPM7,transient receptor potential cation channel subfamily M member 7
TRPM8,transient receptor potential cation channel subfamily M member 8
MCOLN1,mucolipin TRP cation channel 1
MCOLN2,mucolipin TRP cation channel 2
MCOLN3,mucolipin TRP cation channel 3
PKD2,"polycystin 2, transient receptor potential cation channel"
PKD2L1,"polycystin 2 like 1, transient receptor potential cation channel"
PKD2L2,"polycystin 2 like 2, transient receptor potential cation channel"
TRPV1,transient receptor potential cation channel subfamily V member 1
TRPV2,transient receptor potential cation channel subfamily V member 2
TRPV3,transient receptor potential cation channel subfamily V member 3
TRPV4,transient receptor potential cation channel subfamily V member 4
TRPV5,transient receptor potential cation channel subfamily V member 5
TRPV6,transient receptor potential cation channel subfamily V member 6
KCNK1,potassium two pore domain channel subfamily K member 1
KCNK2,potassium two pore domain channel subfamily K member 2
KCNK3,potassium two pore domain channel subfamily K member 3
KCNK4,potassium two pore domain channel subfamily K member 4
KCNK5,potassium two pore domain channel subfamily K member 5
KCNK6,potassium two pore domain channel subfamily K member 6
KCNK7,potassium two pore domain channel subfamily K member 7
KCNK9,potassium two pore domain channel subfamily K member 9
KCNK10,potassium two pore domain channel subfamily K member 10
KCNK12,potassium two pore domain channel subfamily K member 12
KCNK13,potassium two pore domain channel subfamily K member 13
KCNK15,potassium two pore domain channel subfamily K member 15
KCNK16,potassium two pore domain channel subfamily K member 16
KCNK17,potassium two pore domain channel subfamily K member 17
KCNK18,potassium two pore domain channel subfamily K member 18
CACNA1S,calcium voltage-gated channel subunit alpha1 S
CACNA1C,calcium voltage-gated channel subunit alpha1 C
CACNA1D,calcium voltage-gated channel subunit alpha1 D
CACNA1F,calcium voltage-gated channel subunit alpha1 F
CACNA1A,calcium voltage-gated channel subunit alpha1 A
CACNA1B,calcium voltage-gated channel subunit alpha1 B
CACNA1E,calcium voltage-gated channel subunit alpha1 E
CACNA1G,calcium voltage-gated channel subunit alpha1 G
CACNA1H,calcium voltage-gated channel subunit alpha1 H
CACNA1I,calcium voltage-gated channel subunit alpha1 I
KCNA1,potassium voltage-gated channel subfamily A member 1
KCNA2,potassium voltage-gated channel subfamily A member 2
KCNA3,potassium voltage-gated channel subfamily A member 3
KCNA4,potassium voltage-gated channel subfamily A member 4
KCNA5,potassium voltage-gated channel subfamily A member 5
KCNA6,potassium voltage-gated channel subfamily A member 6
KCNA7,potassium voltage-gated channel subfamily A member 7
KCNA10,potassium voltage-gated channel subfamily A member 10
KCNB1,potassium voltage-gated channel subfamily B member 1
KCNB2,potassium voltage-gated channel subfamily B member 2
KCNC1,potassium voltage-gated channel subfamily C member 1
KCNC2,potassium voltage-gated channel subfamily C member 2
KCNC3,potassium voltage-gated channel subfamily C member 3
KCNC4,potassium voltage-gated channel subfamily C member 4
KCND1,potassium voltage-gated channel subfamily D member 1
KCND2,potassium voltage-gated channel subfamily D member 2
KCND3,potassium voltage-gated channel subfamily D member 3
KCNF1,potassium voltage-gated channel modifier subfamily F member 1
KCNG1,potassium voltage-gated channel modifier subfamily G member 1
KCNG2,potassium voltage-gated channel modifier subfamily G member 2
KCNG3,potassium voltage-gated channel modifier subfamily G member 3
KCNG4,potassium voltage-gated channel modifier subfamily G member 4
KCNQ1,potassium voltage-gated channel subfamily Q member 1
KCNQ2,potassium voltage-gated channel subfamily Q member 2
KCNQ3,potassium voltage-gated channel subfamily Q member 3
KCNQ4,potassium voltage-gated channel subfamily Q member 4
KCNQ5,potassium voltage-gated channel subfamily Q member 5
KCNV1,potassium voltage-gated channel modifier subfamily V member 1
KCNV2,potassium voltage-gated channel modifier subfamily V member 2
KCNS1,potassium voltage-gated channel modifier subfamily S member 1
KCNS2,potassium voltage-gated channel modifier subfamily S member 2
KCNS3,potassium voltage-gated channel modifier subfamily S member 3
KCNH1,potassium voltage-gated channel subfamily H member 1
KCNH5,potassium voltage-gated channel subfamily H member 5
KCNH2,potassium voltage-gated channel subfamily H member 2
KCNH6,potassium voltage-gated channel subfamily H member 6
KCNH7,potassium voltage-gated channel subfamily H member 7
KCNH8,potassium voltage-gated channel subfamily H member 8
KCNH3,potassium voltage-gated channel subfamily H member 3
KCNH4,potassium voltage-gated channel subfamily H member 4
HVCN1,hydrogen voltage gated channel 1
SCN1A,sodium voltage-gated channel alpha subunit 1
SCN2A,sodium voltage-gated channel alpha subunit 2
SCN3A,sodium voltage-gated channel alpha subunit 3
SCN4A,sodium voltage-gated channel alpha subunit 4
SCN5A,sodium voltage-gated channel alpha subunit 5
SCN8A,sodium voltage-gated channel alpha subunit 8
SCN9A,sodium voltage-gated channel alpha subunit 9
SCN10A,sodium voltage-gated channel alpha subunit 10
SCN11A,sodium voltage-gated channel alpha subunit 11
,
,
HTR3A,5-hydroxytryptamine receptor 3A
HTR3B,5-hydroxytryptamine receptor 3B
HTR3C,5-hydroxytryptamine receptor 3C
HTR3D,5-hydroxytryptamine receptor 3D
HTR3E,5-hydroxytryptamine receptor 3E
ASIC1,acid sensing ion channel subunit 1
ASIC2,acid sensing ion channel subunit 2
ASIC3,acid sensing ion channel subunit 3
,
SCNN1A,sodium channel epithelial 1 subunit alpha
SCNN1B,sodium channel epithelial 1 subunit beta
SCNN1G,sodium channel epithelial 1 subunit gamma
SCNN1D,sodium channel epithelial 1 subunit delta
GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1
GABRA2,gamma-aminobutyric acid type A receptor subunit alpha2
GABRA3,gamma-aminobutyric acid type A receptor subunit alpha3
GABRA4,gamma-aminobutyric acid type A receptor subunit alpha4
GABRA5,gamma-aminobutyric acid type A receptor subunit alpha5
GABRA6,gamma-aminobutyric acid type A receptor subunit alpha6
GABRB1,gamma-aminobutyric acid type A receptor subunit beta1
GABRB2,gamma-aminobutyric acid type A receptor subunit beta2
GABRB3,gamma-aminobutyric acid type A receptor subunit beta3
GABRG1,gamma-aminobutyric acid type A receptor subunit gamma1
GABRG2,gamma-aminobutyric acid type A receptor subunit gamma2
GABRG3,gamma-aminobutyric acid type A receptor subunit gamma3
GABRD,gamma-aminobutyric acid type A receptor subunit delta
GABRE,gamma-aminobutyric acid type A receptor subunit epsilon
GABRQ,gamma-aminobutyric acid type A receptor subunit theta
GABRP,gamma-aminobutyric acid type A receptor subunit pi
GABRR1,gamma-aminobutyric acid type A receptor subunit rho1
GABRR2,gamma-aminobutyric acid type A receptor subunit rho2
GABRR3,gamma-aminobutyric acid type A receptor subunit rho3
GLRA1,glycine receptor alpha 1
GLRA2,glycine receptor alpha 2
GLRA3,glycine receptor alpha 3
GLRA4,glycine receptor alpha 4 (pseudogene)
GLRB,glycine receptor beta
,
GRIA1,glutamate ionotropic receptor AMPA type subunit 1
